Points, URL
1895,https://blog.cloudflare.com/announcing-1111/
1018,https://www.mattcutts.com/blog/cindy-cutts/
989,https://stripe.com/blog/ending-bitcoin-support
912,https://hacks.mozilla.org/2018/01/making-webassembly-even-faster-firefoxs-new-streaming-and-tiering-compiler/
806,https://security.googleblog.com/2018/02/a-secure-web-is-here-to-stay.html
757,https://zachholman.com/talk/utc-is-enough-for-everyone-right
700,http://raganwald.com/2018/02/23/forde.html
685,https://rachelbythebay.com/w/2018/03/26/w/
620,https://stripe.com/blog/billing
562,https://danluu.com/cpu-bugs/
559,https://hacks.mozilla.org/2018/04/sneak-peek-at-webassembly-studio/
515,https://blog.rust-lang.org/2018/03/12/roadmap.html
503,https://blog.rust-lang.org/2018/02/15/Rust-1.24.html
496,https://stripe.com/blog/stripe-home
495,https://blog.rust-lang.org/2018/05/10/Rust-1.26.html
480,http://www.catonmat.net/blog/incredible-events-at-browserling/
462,https://jvns.ca/blog/2018/01/13/rust-in-2018--way-easier-to-use/
462,http://lucumr.pocoo.org/2018/3/31/you-cant-rust-that/
459,https://blog.cloudflare.com/today-we-mitigated-1-1-1-1/
455,https://hacks.mozilla.org/2018/02/css-grid-for-ui-layouts/
448,https://blog.golang.org/versioning-proposal
424,https://jvns.ca/blog/2018/02/18/working-remotely--4-years-in/
416,https://aws.amazon.com/blogs/aws/amazon-aurora-backtrack-turn-back-time/
413,https://hacks.mozilla.org/2018/04/hello-wasm-pack/
408,https://engineering.instagram.com/open-sourcing-a-10x-reduction-in-apache-cassandra-tail-latency-d64f86b43589
403,https://stripe.com/blog/atlas-llc?c
400,https://hacks.mozilla.org/2018/05/a-cartoon-intro-to-dns-over-https/
398,https://hacks.mozilla.org/2018/03/making-webassembly-better-for-rust-for-all-languages/
396,https://blogs.dropbox.com/tech/2018/03/protecting-security-researchers/
389,https://medium.com/@NetflixTechBlog/netflix-flamescope-a57ca19d47bb
384,https://aws.amazon.com/blogs/aws/aws-secrets-manager-store-distribute-and-rotate-credentials-securely/
384,https://www.cockroachlabs.com/blog/2-dot-0-perf-strides/
381,https://danluu.com/bimodal-compensation/
380,https://facebook.github.io/react-native/blog/2018/06/14/state-of-react-native-2018
369,https://githubengineering.com/ddos-incident-report/
362,http://nullprogram.com/blog/2018/06/10/
351,https://blog.golang.org/go-brand
349,https://jvns.ca/blog/2018/01/28/mac-freeze/
346,http://norvig.com/spell-correct.html
342,http://www.catonmat.net/blog/low-level-bit-hacks-you-absolutely-must-know/
336,https://rachelbythebay.com/w/2018/04/21/lb/
327,https://security.googleblog.com/2018/01/more-details-about-mitigations-for-cpu_4.html
325,http://www.brendangregg.com/blog/2018-03-22/tcp-tracepoints.html
324,https://drewdevault.com/2018/03/24/Decentralize-decentralize-decentralize.html
319,https://blog.acolyer.org/2018/01/29/the-paradigms-of-programming/
313,https://drewdevault.com/2018/05/03/Google-embraces-extends-extinguishes.html
311,https://medium.com/@steve.yegge/why-i-left-google-to-join-grab-86dfffc0be84
299,https://www.cockroachlabs.com/blog/cockroachdb-2-0-release/
296,https://code.facebook.com/posts/253852078523394/av1-beats-x264-and-libvpx-vp9-in-practical-use-case/
295,https://hookrace.net/blog/cycling-to-work/
289,https://blog.acolyer.org/2018/01/12/one-model-to-learn-them-all/
289,https://jeremykun.com/2018/04/13/for-mathematicians-does-not-mean-equality/
285,https://hookrace.net/blog/turning-down-blockchain/?
274,https://blogs.dropbox.com/tech/2018/04/4696/
267,https://samsaffron.com/archive/2018/03/22/managing-db-schema-changes-without-downtime
264,https://codeblog.jonskeet.uk/2018/03/17/stack-overflow-culture/amp/
261,https://blog.cloudflare.com/bye-bye-blackbird/
